What is the capital of Australia?,canberra
Who wrote the play Romeo and Juliet?,william shakespeare
What is the largest ocean on Earth?,pacific
How many continents are there?,7
What year did World War II end?,1945
What is the smallest country in the world?,vatican city
Who painted the Mona Lisa?,leonardo da vinci
What is the chemical symbol for gold?,au
How many sides does a hexagon have?,6
What planet is known as the Red Planet?,mars
What is the longest river in the world?,nile
In which year was the internet invented?,1969
What is the largest mammal?,blue whale
How many strings does a standard guitar have?,6
What does HTTP stand for?,hypertext transfer protocol